Food item,Date,Temperature,Precipitation,Day,Month,Special Occasion Category,Qty
1,2018-01-01,21,26.3,2,1,2,15
2,2018-01-01,25,25.8,2,1,2,21
3,2018-01-01,21,15.1,2,1,2,23
1,2018-01-02,25,15.5,3,1,1,36
2,2018-01-02,22,23.5,3,1,1,22
3,2018-01-02,19,31.8,3,1,1,44
1,2018-01-03,28,7.6,4,1,1,21
2,2018-01-03,15,10.5,4,1,1,22
3,2018-01-03,27,14.6,4,1,1,49
1,2018-01-04,25,20.4,5,1,1,42
2,2018-01-04,26,32,5,1,1,15
3,2018-01-04,28,3.7,5,1,1,51
1,2018-01-05,26,17.3,6,1,1,3
2,2018-01-05,19,20.2,6,1,1,21
3,2018-01-05,23,2.9,6,1,1,4
1,2018-01-06,23,31.7,7,1,1,50
2,2018-01-06,24,10.5,7,1,1,2
3,2018-01-06,18,8.5,7,1,1,7
1,2018-01-07,26,16.6,1,1,1,47
2,2018-01-07,17,29.9,1,1,1,36
3,2018-01-07,16,22,1,1,1,2
1,2018-01-08,28,17.4,2,1,1,42
2,2018-01-08,18,6.7,2,1,1,18
3,2018-01-08,24,15.2,2,1,1,10
1,2018-01-09,28,30.5,3,1,1,31
2,2018-01-09,29,3.6,3,1,1,23
3,2018-01-09,26,2.2,3,1,1,40
1,2018-01-10,19,13.2,4,1,1,18
2,2018-01-10,29,27.3,4,1,1,26
3,2018-01-10,23,9.8,4,1,1,45
1,2018-01-11,23,10.3,5,1,1,45
2,2018-01-11,15,1.3,5,1,1,9
3,2018-01-11,22,13.4,5,1,1,8
1,2018-01-12,22,1.3,6,1,1,51
2,2018-01-12,15,23.6,6,1,1,35
3,2018-01-12,15,20.2,6,1,1,42
1,2018-01-13,21,21.6,7,1,1,28
2,2018-01-13,21,28,7,1,1,12
3,2018-01-13,16,3.9,7,1,1,23
1,2018-01-14,28,11.2,1,1,3,35
2,2018-01-14,26,21.2,1,1,3,27
3,2018-01-14,17,15.9,1,1,3,37
1,2018-01-15,29,23.6,2,1,1,1
2,2018-01-15,19,18.8,2,1,1,14
3,2018-01-15,21,2.1,2,1,1,15
1,2018-01-16,29,4.3,3,1,1,13
2,2018-01-16,17,1.8,3,1,1,39
3,2018-01-16,15,10.9,3,1,1,32
1,2018-01-17,18,29.8,4,1,1,23
2,2018-01-17,21,13.9,4,1,1,43
3,2018-01-17,27,8.1,4,1,1,32
1,2018-01-18,21,10.1,5,1,1,22
2,2018-01-18,26,30.6,5,1,1,45
3,2018-01-18,28,21.1,5,1,1,6
1,2018-01-19,26,26.5,6,1,1,44
2,2018-01-19,18,29.4,6,1,1,11
3,2018-01-19,24,4.7,6,1,1,25
1,2018-01-20,21,29.8,7,1,1,1
2,2018-01-20,23,21.5,7,1,1,52
3,2018-01-20,27,28.3,7,1,1,39
1,2018-01-21,20,17.1,1,1,1,9
2,2018-01-21,28,7.9,1,1,1,51
3,2018-01-21,24,11.6,1,1,1,15
1,2018-01-22,25,11.1,2,1,3,32
2,2018-01-22,22,23.3,2,1,3,49
3,2018-01-22,28,31.9,2,1,3,52
1,2018-01-23,26,8.9,3,1,1,2
2,2018-01-23,17,10.4,3,1,1,49
3,2018-01-23,22,2,3,1,1,49
1,2018-01-24,16,16.9,4,1,1,23
2,2018-01-24,19,11.8,4,1,1,1
3,2018-01-24,17,22.6,4,1,1,44
1,2018-01-25,24,32.3,5,1,1,32
2,2018-01-25,21,22.3,5,1,1,11
3,2018-01-25,22,8.4,5,1,1,38
1,2018-01-26,22,15.8,6,1,2,34
2,2018-01-26,20,13.6,6,1,2,48
3,2018-01-26,15,5.6,6,1,2,6
1,2018-01-27,27,28.3,7,1,1,36
2,2018-01-27,17,23.6,7,1,1,19
3,2018-01-27,18,21.4,7,1,1,52
1,2018-01-28,23,22.9,1,1,1,39
2,2018-01-28,16,27.6,1,1,1,11
3,2018-01-28,26,24.3,1,1,1,50
1,2018-01-29,21,18.1,2,1,1,42
2,2018-01-29,17,8.1,2,1,1,16
3,2018-01-29,24,32.2,2,1,1,52
1,2018-01-30,26,9.1,3,1,1,1
2,2018-01-30,28,29.5,3,1,1,37
3,2018-01-30,25,6.8,3,1,1,41
