Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-01-01,1,15,21,26.3,2,1,New Year's Day (R),2
2018-01-01,2,21,25,25.8,2,1,New Year's Day (R),2
2018-01-01,3,23,21,15.1,2,1,New Year's Day (R),2
2018-01-02,1,36,25,15.5,3,1,Normal Day,1
2018-01-02,2,22,22,23.5,3,1,Normal Day,1
2018-01-02,3,44,19,31.8,3,1,Normal Day,1
2018-01-03,1,21,28,7.6,4,1,Normal Day,1
2018-01-03,2,22,15,10.5,4,1,Normal Day,1
2018-01-03,3,49,27,14.6,4,1,Normal Day,1
2018-01-04,1,42,25,20.4,5,1,Normal Day,1
2018-01-04,2,15,26,32.0,5,1,Normal Day,1
2018-01-04,3,51,28,3.7,5,1,Normal Day,1
2018-01-05,1,3,26,17.3,6,1,Normal Day,1
2018-01-05,2,21,19,20.2,6,1,Normal Day,1
2018-01-05,3,4,23,2.9,6,1,Normal Day,1
2018-01-06,1,50,23,31.7,7,1,Normal Day,1
2018-01-06,2,2,24,10.5,7,1,Normal Day,1
2018-01-06,3,7,18,8.5,7,1,Normal Day,1
2018-01-07,1,47,26,16.6,1,1,Normal Day,1
2018-01-07,2,36,17,29.9,1,1,Normal Day,1
2018-01-07,3,2,16,22.0,1,1,Normal Day,1
2018-01-08,1,42,28,17.4,2,1,Normal Day,1
2018-01-08,2,18,18,6.7,2,1,Normal Day,1
2018-01-08,3,10,24,15.2,2,1,Normal Day,1
2018-01-09,1,31,28,30.5,3,1,Normal Day,1
2018-01-09,2,23,29,3.6,3,1,Normal Day,1
2018-01-09,3,40,26,2.2,3,1,Normal Day,1
2018-01-10,1,18,19,13.2,4,1,Normal Day,1
2018-01-10,2,26,29,27.3,4,1,Normal Day,1
2018-01-10,3,45,23,9.8,4,1,Normal Day,1
2018-01-11,1,45,23,10.3,5,1,Normal Day,1
2018-01-11,2,9,15,1.3,5,1,Normal Day,1
2018-01-11,3,8,22,13.4,5,1,Normal Day,1
2018-01-12,1,51,22,1.3,6,1,Normal Day,1
2018-01-12,2,35,15,23.6,6,1,Normal Day,1
2018-01-12,3,42,15,20.2,6,1,Normal Day,1
2018-01-13,1,28,21,21.6,7,1,Normal Day,1
2018-01-13,2,12,21,28.0,7,1,Normal Day,1
2018-01-13,3,23,16,3.9,7,1,Normal Day,1
2018-01-14,1,35,28,11.2,1,1,Makar Sankranti (R),3
2018-01-14,2,27,26,21.2,1,1,Makar Sankranti (R),3
2018-01-14,3,37,17,15.9,1,1,Makar Sankranti (R),3
2018-01-15,1,1,29,23.6,2,1,Normal Day,1
2018-01-15,2,14,19,18.8,2,1,Normal Day,1
2018-01-15,3,15,21,2.1,2,1,Normal Day,1
2018-01-16,1,13,29,4.3,3,1,Normal Day,1
2018-01-16,2,39,17,1.8,3,1,Normal Day,1
2018-01-16,3,32,15,10.9,3,1,Normal Day,1
2018-01-17,1,23,18,29.8,4,1,Normal Day,1
2018-01-17,2,43,21,13.9,4,1,Normal Day,1
2018-01-17,3,32,27,8.1,4,1,Normal Day,1
2018-01-18,1,22,21,10.1,5,1,Normal Day,1
2018-01-18,2,45,26,30.6,5,1,Normal Day,1
2018-01-18,3,6,28,21.1,5,1,Normal Day,1
2018-01-19,1,44,26,26.5,6,1,Normal Day,1
2018-01-19,2,11,18,29.4,6,1,Normal Day,1
2018-01-19,3,25,24,4.7,6,1,Normal Day,1
2018-01-20,1,1,21,29.8,7,1,Normal Day,1
2018-01-20,2,52,23,21.5,7,1,Normal Day,1
2018-01-20,3,39,27,28.3,7,1,Normal Day,1
2018-01-21,1,9,20,17.1,1,1,Normal Day,1
2018-01-21,2,51,28,7.9,1,1,Normal Day,1
2018-01-21,3,15,24,11.6,1,1,Normal Day,1
