Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion
2018-01-01,1,30,21,1,2,1,2
2018-01-01,2,12,21,1,2,1,2
2018-01-01,3,10,21,1,2,1,2
2018-01-01,4,44,21,1,2,1,2
2018-01-01,5,11,21,1,2,1,2
2018-01-01,6,15,21,1,2,1,2
2018-01-01,7,16,21,1,2,1,2
2018-01-01,8,17,21,1,2,1,2
2018-01-01,9,26,21,1,2,1,2
2018-01-01,10,2,21,1,2,1,2
2018-01-01,11,50,21,1,2,1,2
2018-01-01,12,12,21,1,2,1,2
2018-01-01,13,51,21,1,2,1,2
2018-01-01,14,26,21,1,2,1,2
2018-01-01,15,23,21,1,2,1,2
2018-01-01,16,18,21,1,2,1,2
2018-01-01,17,32,21,1,2,1,2
2018-01-01,18,49,21,1,2,1,2
2018-01-01,19,38,21,1,2,1,2
2018-01-01,20,47,21,1,2,1,2
2018-01-01,21,3,21,1,2,1,2
2018-01-01,22,38,21,1,2,1,2
2018-01-01,23,3,21,1,2,1,2
2018-01-01,24,30,21,1,2,1,2
2018-01-01,25,1,21,1,2,1,2
2018-01-01,26,30,21,1,2,1,2
2018-01-01,27,45,21,1,2,1,2
2018-01-01,28,32,21,1,2,1,2
2018-01-01,29,28,21,1,2,1,2
2018-01-01,30,21,21,1,2,1,2
2018-01-02,1,46,18,27,3,1,1
2018-01-02,2,13,18,27,3,1,1
2018-01-02,3,27,18,27,3,1,1
2018-01-02,4,36,18,27,3,1,1
2018-01-02,5,7,18,27,3,1,1
2018-01-02,6,22,18,27,3,1,1
2018-01-02,7,10,18,27,3,1,1
2018-01-02,8,39,18,27,3,1,1
2018-01-02,9,15,18,27,3,1,1
2018-01-02,10,15,18,27,3,1,1
2018-01-02,11,4,18,27,3,1,1
2018-01-02,12,32,18,27,3,1,1
2018-01-02,13,23,18,27,3,1,1
2018-01-02,14,6,18,27,3,1,1
2018-01-02,15,24,18,27,3,1,1
2018-01-02,16,20,18,27,3,1,1
2018-01-02,17,37,18,27,3,1,1
2018-01-02,18,20,18,27,3,1,1
2018-01-02,19,12,18,27,3,1,1
2018-01-02,20,33,18,27,3,1,1
2018-01-02,21,28,18,27,3,1,1
2018-01-02,22,8,18,27,3,1,1
2018-01-02,23,1,18,27,3,1,1
2018-01-02,24,37,18,27,3,1,1
2018-01-02,25,22,18,27,3,1,1
2018-01-02,26,6,18,27,3,1,1
2018-01-02,27,21,18,27,3,1,1
2018-01-02,28,32,18,27,3,1,1
2018-01-02,29,35,18,27,3,1,1
2018-01-02,30,15,18,27,3,1,1
2018-01-03,1,5,27,8.1,4,1,1
2018-01-03,2,46,27,8.1,4,1,1
2018-01-03,3,50,27,8.1,4,1,1
2018-01-03,4,48,27,8.1,4,1,1
2018-01-03,5,6,27,8.1,4,1,1
2018-01-03,6,25,27,8.1,4,1,1
2018-01-03,7,46,27,8.1,4,1,1
2018-01-03,8,40,27,8.1,4,1,1
2018-01-03,9,29,27,8.1,4,1,1
2018-01-03,10,7,27,8.1,4,1,1
2018-01-03,11,40,27,8.1,4,1,1
2018-01-03,12,13,27,8.1,4,1,1
2018-01-03,13,38,27,8.1,4,1,1
2018-01-03,14,18,27,8.1,4,1,1
2018-01-03,15,2,27,8.1,4,1,1
2018-01-03,16,8,27,8.1,4,1,1
2018-01-03,17,11,27,8.1,4,1,1
2018-01-03,18,33,27,8.1,4,1,1
2018-01-03,19,38,27,8.1,4,1,1
2018-01-03,20,48,27,8.1,4,1,1
2018-01-03,21,27,27,8.1,4,1,1
2018-01-03,22,20,27,8.1,4,1,1
2018-01-03,23,12,27,8.1,4,1,1
2018-01-03,24,43,27,8.1,4,1,1
2018-01-03,25,31,27,8.1,4,1,1
2018-01-03,26,27,27,8.1,4,1,1
2018-01-03,27,32,27,8.1,4,1,1
2018-01-03,28,10,27,8.1,4,1,1
2018-01-03,29,3,27,8.1,4,1,1
2018-01-03,30,45,27,8.1,4,1,1
2018-01-04,1,27,29,29.9,5,1,1
2018-01-04,2,35,29,29.9,5,1,1
2018-01-04,3,31,29,29.9,5,1,1
2018-01-04,4,15,29,29.9,5,1,1
2018-01-04,5,16,29,29.9,5,1,1
2018-01-04,6,13,29,29.9,5,1,1
2018-01-04,7,49,29,29.9,5,1,1
2018-01-04,8,35,29,29.9,5,1,1
2018-01-04,9,52,29,29.9,5,1,1
2018-01-04,10,11,29,29.9,5,1,1
2018-01-04,11,21,29,29.9,5,1,1
2018-01-04,12,51,29,29.9,5,1,1
2018-01-04,13,11,29,29.9,5,1,1
2018-01-04,14,30,29,29.9,5,1,1
2018-01-04,15,48,29,29.9,5,1,1
2018-01-04,16,35,29,29.9,5,1,1
2018-01-04,17,22,29,29.9,5,1,1
