Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-01-01,1,30,21,1.0,Monday,January,New Year's Day (R),2.0
2018-01-02,1,12,18,27.0,Tuesday,January,Normal Day,
2018-01-03,1,10,27,8.1,Wednesday,January,Normal Day,
2018-01-04,1,44,29,29.9,Thursday,January,Normal Day,
2018-01-05,1,11,25,0.8,Friday,January,Normal Day,
2018-01-06,1,15,22,18.6,Saturday,January,Normal Day,
2018-01-07,1,16,27,25.0,Sunday,January,Normal Day,
2018-01-08,1,17,19,9.1,Monday,January,Normal Day,
2018-01-09,1,26,21,7.0,Tuesday,January,Normal Day,
2018-01-10,1,2,24,3.5,Wednesday,January,Normal Day,
2018-01-11,1,50,17,11.2,Thursday,January,Normal Day,
2018-01-12,1,12,21,18.7,Friday,January,Normal Day,
2018-01-13,1,51,25,4.5,Saturday,January,Normal Day,
2018-01-14,1,26,25,12.9,Sunday,January,Makar Sankranti (R),3.0
2018-01-15,1,23,22,1.1,Monday,January,Normal Day,
2018-01-16,1,18,19,27.0,Tuesday,January,Normal Day,
2018-01-17,1,32,18,4.9,Wednesday,January,Normal Day,
2018-01-18,1,49,22,9.9,Thursday,January,Normal Day,
2018-01-19,1,38,22,1.4,Friday,January,Normal Day,
2018-01-20,1,47,17,14.6,Saturday,January,Normal Day,
2018-01-21,1,3,20,27.7,Sunday,January,Normal Day,
2018-01-22,1,38,19,13.3,Monday,January,Basant Panchami / Sri Panchami (R),3.0
2018-01-23,1,3,16,6.5,Tuesday,January,Normal Day,
2018-01-24,1,30,22,24.9,Wednesday,January,Normal Day,
2018-01-25,1,1,26,26.0,Thursday,January,Normal Day,
2018-01-26,1,30,28,6.4,Friday,January,Republic Day (G),2.0
2018-01-27,1,45,20,25.5,Saturday,January,Normal Day,
2018-01-28,1,32,16,31.1,Sunday,January,Normal Day,
2018-01-29,1,28,26,6.1,Monday,January,Normal Day,
2018-01-30,1,21,19,25.5,Tuesday,January,Normal Day,
2018-01-31,1,46,15,23.5,Wednesday,January,Guru Ravidas's Birthday (R),3.0
2018-02-01,1,13,26,16.0,Thursday,February,Normal Day,
2018-02-02,1,27,24,2.7,Friday,February,Normal Day,
2018-02-03,1,36,20,3.2,Saturday,February,Normal Day,
2018-02-04,1,7,27,28.1,Sunday,February,Normal Day,
2018-02-05,1,22,26,32.5,Monday,February,Normal Day,
2018-02-06,1,10,23,22.4,Tuesday,February,Normal Day,
2018-02-07,1,39,15,15.1,Wednesday,February,Normal Day,
2018-02-08,1,15,25,21.5,Thursday,February,Normal Day,
2018-02-09,1,15,25,19.8,Friday,February,Normal Day,
2018-02-10,1,4,29,13.1,Saturday,February,Swami Dayananda Saraswati Jayanti (R),3.0
2018-02-11,1,32,24,2.9,Sunday,February,Normal Day,
2018-02-12,1,23,26,27.1,Monday,February,Normal Day,
2018-02-13,1,6,26,12.7,Tuesday,February,Normal Day,
2018-02-14,1,24,29,27.0,Wednesday,February,Maha Shivaratri (G),2.0
2018-02-15,1,20,28,8.9,Thursday,February,Normal Day,
2018-02-16,1,37,28,0.8,Friday,February,Normal Day,
2018-02-17,1,20,29,5.9,Saturday,February,Normal Day,
2018-02-18,1,12,28,15.8,Sunday,February,Normal Day,
2018-02-19,1,33,17,31.0,Monday,February,Shivaji Jayanti (R),3.0
2018-02-20,1,28,26,4.1,Tuesday,February,Normal Day,
2018-02-21,1,8,21,28.1,Wednesday,February,Normal Day,
2018-02-22,1,1,18,17.7,Thursday,February,Normal Day,
2018-02-23,1,37,23,27.2,Friday,February,Normal Day,
2018-02-24,1,22,17,10.3,Saturday,February,Normal Day,
2018-02-25,1,6,19,27.7,Sunday,February,Normal Day,
2018-02-26,1,21,17,25.5,Monday,February,Normal Day,
2018-02-27,1,32,21,8.2,Tuesday,February,Normal Day,
2018-02-28,1,35,19,5.0,Wednesday,February,Normal Day,
2018-03-01,1,15,23,28.6,Thursday,March,Holika Dahan/Dolyatra (R),3.0
2018-03-02,1,5,21,31.6,Friday,March,Holi (G),3.0
2018-03-03,1,46,16,1.8,Saturday,March,Normal Day,
2018-03-04,1,50,18,24.2,Sunday,March,Normal Day,
2018-03-05,1,48,23,29.9,Monday,March,Normal Day,
2018-03-06,1,6,26,28.2,Tuesday,March,Normal Day,
2018-03-07,1,25,28,31.7,Wednesday,March,Normal Day,
2018-03-08,1,46,16,25.1,Thursday,March,Normal Day,
2018-03-09,1,40,24,15.0,Friday,March,Normal Day,
2018-03-10,1,29,23,10.8,Saturday,March,Normal Day,
2018-03-11,1,7,24,11.1,Sunday,March,Normal Day,
2018-03-12,1,40,19,24.0,Monday,March,Normal Day,
2018-03-13,1,13,16,24.7,Tuesday,March,Normal Day,
2018-03-14,1,38,18,7.2,Wednesday,March,Normal Day,
2018-03-15,1,18,26,28.6,Thursday,March,Normal Day,
2018-03-16,1,2,29,23.7,Friday,March,Normal Day,
2018-03-17,1,8,26,18.8,Saturday,March,Normal Day,
2018-03-18,1,11,21,15.9,Sunday,March,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),3.0
2018-03-19,1,33,26,18.2,Monday,March,Normal Day,
2018-03-20,1,38,27,5.9,Tuesday,March,Normal Day,
2018-03-21,1,48,22,7.3,Wednesday,March,Normal Day,
2018-03-22,1,27,29,3.7,Thursday,March,Normal Day,
2018-03-23,1,20,17,5.7,Friday,March,Normal Day,
2018-03-24,1,12,28,15.3,Saturday,March,Normal Day,
2018-03-25,1,43,15,17.8,Sunday,March,Ram Navami (R),3.0
2018-03-26,1,31,18,1.4,Monday,March,Normal Day,
2018-03-27,1,27,16,26.3,Tuesday,March,Normal Day,
2018-03-28,1,32,22,10.2,Wednesday,March,Normal Day,
2018-03-29,1,10,18,30.0,Thursday,March,Mahavir Jayanti (G),2.0
2018-03-30,1,3,16,31.8,Friday,March,Good Friday (G),5.0
2018-03-31,1,45,28,6.7,Saturday,March,Normal Day,
2018-04-01,1,27,20,15.6,Sunday,April,Easter Sunday (R),5.0
2018-04-02,1,35,20,0.8,Monday,April,Normal Day,
2018-04-03,1,31,24,19.9,Tuesday,April,Normal Day,
2018-04-04,1,15,18,20.2,Wednesday,April,Normal Day,
2018-04-05,1,16,20,8.7,Thursday,April,Normal Day,
2018-04-06,1,13,27,18.7,Friday,April,Normal Day,
2018-04-07,1,49,29,8.0,Saturday,April,Normal Day,
2018-04-08,1,35,16,5.9,Sunday,April,Normal Day,
