Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-01-01,1,15,21,26.3,Monday,January,New Year's Day (R),2.0
2018-01-01,2,21,25,25.8,Monday,January,New Year's Day (R),2.0
2018-01-01,3,23,21,15.1,Monday,January,New Year's Day (R),2.0
2018-01-02,1,36,25,15.5,Tuesday,January,Normal Day,
2018-01-02,2,22,22,23.5,Tuesday,January,Normal Day,
2018-01-02,3,44,19,31.8,Tuesday,January,Normal Day,
2018-01-03,1,21,28,7.6,Wednesday,January,Normal Day,
2018-01-03,2,22,15,10.5,Wednesday,January,Normal Day,
2018-01-03,3,49,27,14.6,Wednesday,January,Normal Day,
2018-01-04,1,42,25,20.4,Thursday,January,Normal Day,
2018-01-04,2,15,26,32.0,Thursday,January,Normal Day,
2018-01-04,3,51,28,3.7,Thursday,January,Normal Day,
2018-01-05,1,3,26,17.3,Friday,January,Normal Day,
2018-01-05,2,21,19,20.2,Friday,January,Normal Day,
2018-01-05,3,4,23,2.9,Friday,January,Normal Day,
2018-01-06,1,50,23,31.7,Saturday,January,Normal Day,
2018-01-06,2,2,24,10.5,Saturday,January,Normal Day,
2018-01-06,3,7,18,8.5,Saturday,January,Normal Day,
2018-01-07,1,47,26,16.6,Sunday,January,Normal Day,
2018-01-07,2,36,17,29.9,Sunday,January,Normal Day,
2018-01-07,3,2,16,22.0,Sunday,January,Normal Day,
2018-01-08,1,42,28,17.4,Monday,January,Normal Day,
2018-01-08,2,18,18,6.7,Monday,January,Normal Day,
2018-01-08,3,10,24,15.2,Monday,January,Normal Day,
2018-01-09,1,31,28,30.5,Tuesday,January,Normal Day,
2018-01-09,2,23,29,3.6,Tuesday,January,Normal Day,
2018-01-09,3,40,26,2.2,Tuesday,January,Normal Day,
2018-01-10,1,18,19,13.2,Wednesday,January,Normal Day,
2018-01-10,2,26,29,27.3,Wednesday,January,Normal Day,
2018-01-10,3,45,23,9.8,Wednesday,January,Normal Day,
2018-01-11,1,45,23,10.3,Thursday,January,Normal Day,
2018-01-11,2,9,15,1.3,Thursday,January,Normal Day,
2018-01-11,3,8,22,13.4,Thursday,January,Normal Day,
2018-01-12,1,51,22,1.3,Friday,January,Normal Day,
2018-01-12,2,35,15,23.6,Friday,January,Normal Day,
