Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion
2018-01-01,Chicken Biryani,30,21,1.0,Monday,January,New Year
2018-01-02,Chicken Biryani,12,18,27.0,Tuesday,January,Normal Day
2018-01-03,Chicken Biryani,10,27,8.1,Wednesday,January,Normal Day
2018-01-04,Chicken Biryani,44,29,29.9,Thursday,January,Normal Day
2018-01-05,Chicken Biryani,11,25,0.8,Friday,January,Normal Day
2018-01-06,Chicken Biryani,15,22,18.6,Saturday,January,Normal Day
2018-01-07,Chicken Biryani,16,27,25.0,Sunday,January,Normal Day
2018-01-08,Chicken Biryani,17,19,9.1,Monday,January,Normal Day
2018-01-09,Chicken Biryani,26,21,7.0,Tuesday,January,Normal Day
2018-01-10,Chicken Biryani,2,24,3.5,Wednesday,January,Normal Day
2018-01-11,Chicken Biryani,50,17,11.2,Thursday,January,Normal Day
2018-01-12,Chicken Biryani,12,21,18.7,Friday,January,Normal Day
2018-01-13,Chicken Biryani,51,25,4.5,Saturday,January,Normal Day
2018-01-14,Chicken Biryani,26,25,12.9,Sunday,January,Normal Day
2018-01-15,Chicken Biryani,23,22,1.1,Monday,January,Normal Day
2018-01-16,Chicken Biryani,18,19,27.0,Tuesday,January,Normal Day
2018-01-17,Chicken Biryani,32,18,4.9,Wednesday,January,Normal Day
2018-01-18,Chicken Biryani,49,22,9.9,Thursday,January,Normal Day
2018-01-19,Chicken Biryani,38,22,1.4,Friday,January,Normal Day
2018-01-20,Chicken Biryani,47,17,14.6,Saturday,January,Normal Day
2018-01-21,Chicken Biryani,3,20,27.7,Sunday,January,Normal Day
2018-01-22,Chicken Biryani,38,19,13.3,Monday,January,Normal Day
2018-01-23,Chicken Biryani,3,16,6.5,Tuesday,January,Normal Day
2018-01-24,Chicken Biryani,30,22,24.9,Wednesday,January,Normal Day
2018-01-25,Chicken Biryani,1,26,26.0,Thursday,January,Normal Day
2018-01-26,Chicken Biryani,30,28,6.4,Friday,January,Normal Day
2018-01-27,Chicken Biryani,45,20,25.5,Saturday,January,Normal Day
2018-01-28,Chicken Biryani,32,16,31.1,Sunday,January,Normal Day
2018-01-29,Chicken Biryani,28,26,6.1,Monday,January,Normal Day
2018-01-30,Chicken Biryani,21,19,25.5,Tuesday,January,Normal Day
2018-01-31,Chicken Biryani,46,15,23.5,Wednesday,January,Normal Day
2018-02-01,Chicken Biryani,13,26,16.0,Thursday,February,Normal Day
2018-02-02,Chicken Biryani,27,24,2.7,Friday,February,Normal Day
2018-02-03,Chicken Biryani,36,20,3.2,Saturday,February,Normal Day
2018-02-04,Chicken Biryani,7,27,28.1,Sunday,February,Normal Day
2018-02-05,Chicken Biryani,22,26,32.5,Monday,February,Normal Day
2018-02-06,Chicken Biryani,10,23,22.4,Tuesday,February,Normal Day
2018-02-07,Chicken Biryani,39,15,15.1,Wednesday,February,Normal Day
2018-02-08,Chicken Biryani,15,25,21.5,Thursday,February,Normal Day
2018-02-09,Chicken Biryani,15,25,19.8,Friday,February,Normal Day
2018-02-10,Chicken Biryani,4,29,13.1,Saturday,February,Normal Day
2018-02-11,Chicken Biryani,32,24,2.9,Sunday,February,Normal Day
2018-02-12,Chicken Biryani,23,26,27.1,Monday,February,Normal Day
2018-02-13,Chicken Biryani,6,26,12.7,Tuesday,February,Normal Day
2018-02-14,Chicken Biryani,24,29,27.0,Wednesday,February,Normal Day
2018-02-15,Chicken Biryani,20,28,8.9,Thursday,February,Normal Day
2018-02-16,Chicken Biryani,37,28,0.8,Friday,February,Normal Day
2018-02-17,Chicken Biryani,20,29,5.9,Saturday,February,Normal Day
2018-02-18,Chicken Biryani,12,28,15.8,Sunday,February,Normal Day
2018-02-19,Chicken Biryani,33,17,31.0,Monday,February,Normal Day
2018-02-20,Chicken Biryani,28,26,4.1,Tuesday,February,Normal Day
2018-02-21,Chicken Biryani,8,21,28.1,Wednesday,February,Normal Day
2018-02-22,Chicken Biryani,1,18,17.7,Thursday,February,Normal Day
2018-02-23,Chicken Biryani,37,23,27.2,Friday,February,Normal Day
2018-02-24,Chicken Biryani,22,17,10.3,Saturday,February,Normal Day
2018-02-25,Chicken Biryani,6,19,27.7,Sunday,February,Normal Day
2018-02-26,Chicken Biryani,21,17,25.5,Monday,February,Normal Day
2018-02-27,Chicken Biryani,32,21,8.2,Tuesday,February,Normal Day
2018-02-28,Chicken Biryani,35,19,5.0,Wednesday,February,Normal Day
