Food item,Date,Temperature,Precipitation,Day,Month,Special Occasion Category,Qty,Year
1,2018-01-01,21,26.3,1,1,2,15,2018
2,2018-01-01,25,25.8,1,1,2,21,2018
3,2018-01-01,21,15.1,1,1,2,23,2018
1,2018-01-02,25,15.5,2,1,1,36,2018
2,2018-01-02,22,23.5,2,1,1,22,2018
3,2018-01-02,19,31.8,2,1,1,44,2018
1,2018-01-03,28,7.6,3,1,1,21,2018
2,2018-01-03,15,10.5,3,1,1,22,2018
3,2018-01-03,27,14.6,3,1,1,49,2018
1,2018-01-04,25,20.4,4,1,1,42,2018
2,2018-01-04,26,32.0,4,1,1,15,2018
3,2018-01-04,28,3.7,4,1,1,51,2018
1,2018-01-05,26,17.3,5,1,1,3,2018
2,2018-01-05,19,20.2,5,1,1,21,2018
3,2018-01-05,23,2.9,5,1,1,4,2018
1,2018-01-06,23,31.7,6,1,1,50,2018
2,2018-01-06,24,10.5,6,1,1,2,2018
3,2018-01-06,18,8.5,6,1,1,7,2018
1,2018-01-07,26,16.6,7,1,1,47,2018
2,2018-01-07,17,29.9,7,1,1,36,2018
3,2018-01-07,16,22.0,7,1,1,2,2018
1,2018-01-08,28,17.4,8,1,1,42,2018
2,2018-01-08,18,6.7,8,1,1,18,2018
3,2018-01-08,24,15.2,8,1,1,10,2018
1,2018-01-09,28,30.5,9,1,1,31,2018
2,2018-01-09,29,3.6,9,1,1,23,2018
3,2018-01-09,26,2.2,9,1,1,40,2018
1,2018-01-10,19,13.2,10,1,1,18,2018
2,2018-01-10,29,27.3,10,1,1,26,2018
3,2018-01-10,23,9.8,10,1,1,45,2018
1,2018-01-11,23,10.3,11,1,1,45,2018
2,2018-01-11,15,1.3,11,1,1,9,2018
3,2018-01-11,22,13.4,11,1,1,8,2018
1,2018-01-12,22,1.3,12,1,1,51,2018
2,2018-01-12,15,23.6,12,1,1,35,2018
3,2018-01-12,15,20.2,12,1,1,42,2018
1,2018-01-13,21,21.6,13,1,1,28,2018
2,2018-01-13,21,28.0,13,1,1,12,2018
3,2018-01-13,16,3.9,13,1,1,23,2018
1,2018-01-14,28,11.2,14,1,3,35,2018
2,2018-01-14,26,21.2,14,1,3,27,2018
3,2018-01-14,17,15.9,14,1,3,37,2018
1,2018-01-15,29,23.6,15,1,1,1,2018
2,2018-01-15,19,18.8,15,1,1,14,2018
3,2018-01-15,21,2.1,15,1,1,15,2018
1,2018-01-16,29,4.3,16,1,1,13,2018
2,2018-01-16,17,1.8,16,1,1,39,2018
3,2018-01-16,15,10.9,16,1,1,32,2018
1,2018-01-17,18,29.8,17,1,1,23,2018
2,2018-01-17,21,13.9,17,1,1,43,2018
3,2018-01-17,27,8.1,17,1,1,32,2018
1,2018-01-18,21,10.1,18,1,1,22,2018
2,2018-01-18,26,30.6,18,1,1,45,2018
3,2018-01-18,28,21.1,18,1,1,6,2018
1,2018-01-19,26,26.5,19,1,1,44,2018
2,2018-01-19,18,29.4,19,1,1,11,2018
3,2018-01-19,24,4.7,19,1,1,25,2018
1,2018-01-20,21,29.8,20,1,1,1,2018
2,2018-01-20,23,21.5,20,1,1,52,2018
3,2018-01-20,27,28.3,20,1,1,39,2018
1,2018-01-21,20,17.1,21,1,1,9,2018
2,2018-01-21,28,7.9,21,1,1,51,2018
3,2018-01-21,24,11.6,21,1,1,15,2018
1,2018-01-22,25,11.1,22,1,3,32,2018
2,2018-01-22,22,23.3,22,1,3,49,2018
3,2018-01-22,28,31.9,22,1,3,52,2018
1,2018-01-23,26,8.9,23,1,1,2,2018
2,2018-01-23,17,10.4,23,1,1,49,2018
3,2018-01-23,22,2.0,23,1,1,49,2018
1,2018-01-24,16,16.9,24,1,1,23,2018
2,2018-01-24,19,11.8,24,1,1,1,2018
3,2018-01-24,17,22.6,24,1,1,44,2018
1,2018-01-25,24,32.3,25,1,1,32,2018
2,2018-01-25,21,22.3,25,1,1,11,2018
3,2018-01-25,22,8.4,25,1,1,38,2018
1,2018-01-26,22,15.8,26,1,2,34,2018
2,2018-01-26,20,13.6,26,1,2,48,2018
3,2018-01-26,15,5.6,26,1,2,6,2018
1,2018-01-27,27,28.3,27,1,1,36,2018
2,2018-01-27,17,23.6,27,1,1,19,2018
3,2018-01-27,18,21.4,27,1,1,52,2018
1,2018-01-28,23,22.9,28,1,1,39,2018
2,2018-01-28,16,27.6,28,1,1,11,2018
3,2018-01-28,26,24.3,28,1,1,50,2018
1,2018-01-29,21,18.1,29,1,1,42,2018
2,2018-01-29,17,8.1,29,1,1,16,2018
3,2018-01-29,24,32.2,29,1,1,52,2018
1,2018-01-30,26,9.1,30,1,1,1,2018
2,2018-01-30,28,29.5,30,1,1,37,2018
3,2018-01-30,25,6.8,30,1,1,41,2018
1,2018-01-31,17,23.2,31,1,3,16,2018
2,2018-01-31,17,28.2,31,1,3,33,2018
3,2018-01-31,22,28.0,31,1,3,49,2018
1,2018-02-01,22,25.9,1,2,1,40,2018
2,2018-02-01,18,19.4,1,2,1,48,2018
3,2018-02-01,28,30.9,1,2,1,25,2018
1,2018-02-02,27,9.9,2,2,1,46,2018
2,2018-02-02,16,16.3,2,2,1,35,2018
3,2018-02-02,27,8.0,2,2,1,33,2018
1,2018-02-03,18,8.4,3,2,1,21,2018
2,2018-02-03,18,12.5,3,2,1,8,2018
3,2018-02-03,21,23.9,3,2,1,33,2018
1,2018-02-04,26,17.1,4,2,1,22,2018
2,2018-02-04,21,8.8,4,2,1,30,2018
3,2018-02-04,20,32.1,4,2,1,51,2018
1,2018-02-05,20,29.8,5,2,1,27,2018
2,2018-02-05,16,12.0,5,2,1,33,2018
3,2018-02-05,26,22.2,5,2,1,33,2018
1,2018-02-06,19,8.2,6,2,1,48,2018
2,2018-02-06,17,19.1,6,2,1,49,2018
3,2018-02-06,15,32.6,6,2,1,30,2018
1,2018-02-07,27,9.7,7,2,1,6,2018
2,2018-02-07,17,24.7,7,2,1,37,2018
3,2018-02-07,22,11.4,7,2,1,46,2018
1,2018-02-08,19,19.1,8,2,1,33,2018
2,2018-02-08,18,10.2,8,2,1,21,2018
3,2018-02-08,21,9.4,8,2,1,3,2018
1,2018-02-09,16,18.6,9,2,1,31,2018
2,2018-02-09,20,23.1,9,2,1,40,2018
3,2018-02-09,28,3.9,9,2,1,32,2018
1,2018-02-10,29,32.5,10,2,3,2,2018
2,2018-02-10,29,17.4,10,2,3,2,2018
3,2018-02-10,24,24.5,10,2,3,33,2018
1,2018-02-11,23,23.3,11,2,1,48,2018
2,2018-02-11,21,10.2,11,2,1,26,2018
3,2018-02-11,17,9.0,11,2,1,24,2018
1,2018-02-12,27,3.4,12,2,1,7,2018
2,2018-02-12,23,20.9,12,2,1,20,2018
3,2018-02-12,15,3.1,12,2,1,46,2018
1,2018-02-13,28,29.3,13,2,1,23,2018
2,2018-02-13,29,12.8,13,2,1,2,2018
3,2018-02-13,21,22.3,13,2,1,51,2018
1,2018-02-14,23,5.8,14,2,2,22,2018
2,2018-02-14,24,28.3,14,2,2,49,2018
3,2018-02-14,18,2.0,14,2,2,15,2018
1,2018-02-15,20,18.0,15,2,1,37,2018
2,2018-02-15,15,27.3,15,2,1,44,2018
3,2018-02-15,26,20.7,15,2,1,4,2018
1,2018-02-16,20,2.5,16,2,1,52,2018
2,2018-02-16,28,18.1,16,2,1,40,2018
3,2018-02-16,18,5.0,16,2,1,50,2018
1,2018-02-17,26,23.7,17,2,1,19,2018
2,2018-02-17,15,13.6,17,2,1,19,2018
3,2018-02-17,26,24.6,17,2,1,26,2018
1,2018-02-18,19,6.7,18,2,1,23,2018
2,2018-02-18,29,23.1,18,2,1,1,2018
3,2018-02-18,24,30.1,18,2,1,47,2018
1,2018-02-19,16,8.5,19,2,3,48,2018
2,2018-02-19,23,21.9,19,2,3,1,2018
3,2018-02-19,27,24.4,19,2,3,5,2018
1,2018-02-20,20,24.2,20,2,1,3,2018
2,2018-02-20,26,18.9,20,2,1,51,2018
3,2018-02-20,19,4.6,20,2,1,29,2018
1,2018-02-21,28,3.7,21,2,1,47,2018
2,2018-02-21,15,10.8,21,2,1,52,2018
3,2018-02-21,19,16.0,21,2,1,26,2018
1,2018-02-22,24,16.5,22,2,1,39,2018
2,2018-02-22,18,6.3,22,2,1,30,2018
3,2018-02-22,19,13.6,22,2,1,10,2018
1,2018-02-23,20,21.1,23,2,1,34,2018
2,2018-02-23,18,12.8,23,2,1,19,2018
3,2018-02-23,24,16.8,23,2,1,5,2018
1,2018-02-24,27,6.0,24,2,1,24,2018
2,2018-02-24,21,31.0,24,2,1,28,2018
3,2018-02-24,25,26.4,24,2,1,12,2018
1,2018-02-25,16,19.1,25,2,1,33,2018
2,2018-02-25,15,26.8,25,2,1,43,2018
3,2018-02-25,19,20.8,25,2,1,1,2018
1,2018-02-26,15,21.6,26,2,1,43,2018
2,2018-02-26,26,9.6,26,2,1,12,2018
3,2018-02-26,29,12.9,26,2,1,51,2018
1,2018-02-27,16,22.7,27,2,1,17,2018
2,2018-02-27,24,11.0,27,2,1,26,2018
3,2018-02-27,24,1.5,27,2,1,34,2018
1,2018-02-28,17,9.8,28,2,1,4,2018
