Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-01-01,mandi,15,21,26.3,2,1,New Year's Day (R),2
2018-01-02,mandi,21,25,25.8,3,1,Normal Day,1
2018-01-03,mandi,23,21,15.1,4,1,Normal Day,1
2018-01-04,mandi,36,25,15.5,5,1,Normal Day,1
2018-01-05,mandi,22,22,23.5,6,1,Normal Day,1
2018-01-06,mandi,44,19,31.8,7,1,Normal Day,1
2018-01-07,mandi,21,28,7.6,1,1,Normal Day,1
2018-01-08,mandi,22,15,10.5,2,1,Normal Day,1
2018-01-09,mandi,49,27,14.6,3,1,Normal Day,1
2018-01-10,mandi,42,25,20.4,4,1,Normal Day,1
2018-01-11,mandi,15,26,32.0,5,1,Normal Day,1
2018-01-12,mandi,51,28,3.7,6,1,Normal Day,1
2018-01-13,mandi,3,26,17.3,7,1,Normal Day,1
2018-01-14,mandi,21,19,20.2,1,1,Makar Sankranti (R),3
2018-01-15,mandi,4,23,2.9,2,1,Normal Day,1
2018-01-16,mandi,50,23,31.7,3,1,Normal Day,1
2018-01-17,mandi,2,24,10.5,4,1,Normal Day,1
2018-01-18,mandi,7,18,8.5,5,1,Normal Day,1
2018-01-19,mandi,47,26,16.6,6,1,Normal Day,1
2018-01-20,mandi,36,17,29.9,7,1,Normal Day,1
2018-01-21,mandi,2,16,22.0,1,1,Normal Day,1
2018-01-22,mandi,42,28,17.4,2,1,Basant Panchami / Sri Panchami (R),3
2018-01-23,mandi,18,18,6.7,3,1,Normal Day,1
2018-01-24,mandi,10,24,15.2,4,1,Normal Day,1
2018-01-25,mandi,31,28,30.5,5,1,Normal Day,1
2018-01-26,mandi,23,29,3.6,6,1,Republic Day (G),2
2018-01-27,mandi,40,26,2.2,7,1,Normal Day,1
2018-01-28,mandi,18,19,13.2,1,1,Normal Day,1
2018-01-29,mandi,26,29,27.3,2,1,Normal Day,1
2018-01-30,mandi,45,23,9.8,3,1,Normal Day,1
2018-01-31,mandi,45,23,10.3,4,1,Guru Ravidas's Birthday (R),3
2018-02-01,mandi,9,15,1.3,5,2,Normal Day,1
2018-02-02,mandi,8,22,13.4,6,2,Normal Day,1
2018-02-03,mandi,51,22,1.3,7,2,Normal Day,1
2018-02-04,mandi,35,15,23.6,1,2,Normal Day,1
2018-02-05,mandi,42,15,20.2,2,2,Normal Day,1
2018-02-06,mandi,28,21,21.6,3,2,Normal Day,1
2018-02-07,mandi,12,21,28.0,4,2,Normal Day,1
2018-02-08,mandi,23,16,3.9,5,2,Normal Day,1
2018-02-09,mandi,35,28,11.2,6,2,Normal Day,1
2018-02-10,mandi,27,26,21.2,7,2,Swami Dayananda Saraswati Jayanti (R),3
2018-02-11,mandi,37,17,15.9,1,2,Normal Day,1
2018-02-12,mandi,1,29,23.6,2,2,Normal Day,1
2018-02-13,mandi,14,19,18.8,3,2,Normal Day,1
2018-02-14,mandi,15,21,2.1,4,2,Maha Shivaratri (G),2
2018-02-15,mandi,13,29,4.3,5,2,Normal Day,1
2018-02-16,mandi,39,17,1.8,6,2,Normal Day,1
2018-02-17,mandi,32,15,10.9,7,2,Normal Day,1
2018-02-18,mandi,23,18,29.8,1,2,Normal Day,1
2018-02-19,mandi,43,21,13.9,2,2,Shivaji Jayanti (R),3
2018-02-20,mandi,32,27,8.1,3,2,Normal Day,1
2018-02-21,mandi,22,21,10.1,4,2,Normal Day,1
2018-02-22,mandi,45,26,30.6,5,2,Normal Day,1
2018-02-23,mandi,6,28,21.1,6,2,Normal Day,1
2018-02-24,mandi,44,26,26.5,7,2,Normal Day,1
2018-02-25,mandi,11,18,29.4,1,2,Normal Day,1
2018-02-26,mandi,25,24,4.7,2,2,Normal Day,1
2018-02-27,mandi,1,21,29.8,3,2,Normal Day,1
2018-02-28,mandi,52,23,21.5,4,2,Normal Day,1
2018-03-01,mandi,39,27,28.3,5,3,Holika Dahan/Dolyatra (R),3
2018-03-02,mandi,9,20,17.1,6,3,Holi (G),3
2018-03-03,mandi,51,28,7.9,7,3,Normal Day,1
2018-03-04,mandi,15,24,11.6,1,3,Normal Day,1
2018-03-05,mandi,32,25,11.1,2,3,Normal Day,1
2018-03-06,mandi,49,22,23.3,3,3,Normal Day,1
2018-03-07,mandi,52,28,31.9,4,3,Normal Day,1
2018-03-08,mandi,2,26,8.9,5,3,Normal Day,1
2018-03-09,mandi,49,17,10.4,6,3,Normal Day,1
2018-03-10,mandi,49,22,2.0,7,3,Normal Day,1
2018-03-11,mandi,23,16,16.9,1,3,Normal Day,1
2018-03-12,mandi,1,19,11.8,2,3,Normal Day,1
2018-03-13,mandi,44,17,22.6,3,3,Normal Day,1
2018-03-14,mandi,32,24,32.3,4,3,Normal Day,1
2018-03-15,mandi,11,21,22.3,5,3,Normal Day,1
2018-03-16,mandi,38,22,8.4,6,3,Normal Day,1
2018-03-17,mandi,34,22,15.8,7,3,Normal Day,1
2018-03-18,mandi,48,20,13.6,1,3,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),3
2018-03-19,mandi,6,15,5.6,2,3,Normal Day,1
2018-03-20,mandi,36,27,28.3,3,3,Normal Day,1
2018-03-21,mandi,19,17,23.6,4,3,Normal Day,1
2018-03-22,mandi,52,18,21.4,5,3,Normal Day,1
2018-03-23,mandi,39,23,22.9,6,3,Normal Day,1
2018-03-24,mandi,11,16,27.6,7,3,Normal Day,1
2018-03-25,mandi,50,26,24.3,1,3,Ram Navami (R),3
2018-03-26,mandi,42,21,18.1,2,3,Normal Day,1
2018-03-27,mandi,16,17,8.1,3,3,Normal Day,1
2018-03-28,mandi,52,24,32.2,4,3,Normal Day,1
2018-03-29,mandi,1,26,9.1,5,3,Mahavir Jayanti (G),2
2018-03-30,mandi,37,28,29.5,6,3,Good Friday (G),5
2018-03-31,mandi,41,25,6.8,7,3,Normal Day,1
2018-04-01,mandi,16,17,23.2,1,4,Easter Sunday (R),5
2018-04-02,mandi,33,17,28.2,2,4,Normal Day,1
