Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion
2018-01-01,mandi,15,21,26.3,Monday,January,New Year
2018-01-02,mandi,21,25,25.8,Tuesday,January,Normal Day
2018-01-03,mandi,23,21,15.1,Wednesday,January,Normal Day
2018-01-04,mandi,36,25,15.5,Thursday,January,Normal Day
2018-01-05,mandi,22,22,23.5,Friday,January,Normal Day
2018-01-06,mandi,44,19,31.8,Saturday,January,Normal Day
2018-01-07,mandi,21,28,7.6,Sunday,January,Normal Day
2018-01-08,mandi,22,15,10.5,Monday,January,Normal Day
2018-01-09,mandi,49,27,14.6,Tuesday,January,Normal Day
2018-01-10,mandi,42,25,20.4,Wednesday,January,Normal Day
2018-01-11,mandi,15,26,32.0,Thursday,January,Normal Day
2018-01-12,mandi,51,28,3.7,Friday,January,Normal Day
2018-01-13,mandi,3,26,17.3,Saturday,January,Normal Day
2018-01-14,mandi,21,19,20.2,Sunday,January,Normal Day
2018-01-15,mandi,4,23,2.9,Monday,January,Normal Day
2018-01-16,mandi,50,23,31.7,Tuesday,January,Normal Day
2018-01-17,mandi,2,24,10.5,Wednesday,January,Normal Day
2018-01-18,mandi,7,18,8.5,Thursday,January,Normal Day
2018-01-19,mandi,47,26,16.6,Friday,January,Normal Day
2018-01-20,mandi,36,17,29.9,Saturday,January,Normal Day
2018-01-21,mandi,2,16,22.0,Sunday,January,Normal Day
2018-01-22,mandi,42,28,17.4,Monday,January,Normal Day
2018-01-23,mandi,18,18,6.7,Tuesday,January,Normal Day
2018-01-24,mandi,10,24,15.2,Wednesday,January,Normal Day
2018-01-25,mandi,31,28,30.5,Thursday,January,Normal Day
2018-01-26,mandi,23,29,3.6,Friday,January,Normal Day
2018-01-27,mandi,40,26,2.2,Saturday,January,Normal Day
2018-01-28,mandi,18,19,13.2,Sunday,January,Normal Day
2018-01-29,mandi,26,29,27.3,Monday,January,Normal Day
2018-01-30,mandi,45,23,9.8,Tuesday,January,Normal Day
2018-01-31,mandi,45,23,10.3,Wednesday,January,Normal Day
2018-02-01,mandi,9,15,1.3,Thursday,February,Normal Day
2018-02-02,mandi,8,22,13.4,Friday,February,Normal Day
2018-02-03,mandi,51,22,1.3,Saturday,February,Normal Day
2018-02-04,mandi,35,15,23.6,Sunday,February,Normal Day
2018-02-05,mandi,42,15,20.2,Monday,February,Normal Day
2018-02-06,mandi,28,21,21.6,Tuesday,February,Normal Day
2018-02-07,mandi,12,21,28.0,Wednesday,February,Normal Day
2018-02-08,mandi,23,16,3.9,Thursday,February,Normal Day
2018-02-09,mandi,35,28,11.2,Friday,February,Normal Day
2018-02-10,mandi,27,26,21.2,Saturday,February,Normal Day
2018-02-11,mandi,37,17,15.9,Sunday,February,Normal Day
2018-02-12,mandi,1,29,23.6,Monday,February,Normal Day
2018-02-13,mandi,14,19,18.8,Tuesday,February,Normal Day
2018-02-14,mandi,15,21,2.1,Wednesday,February,Normal Day
2018-02-15,mandi,13,29,4.3,Thursday,February,Normal Day
2018-02-16,mandi,39,17,1.8,Friday,February,Normal Day
2018-02-17,mandi,32,15,10.9,Saturday,February,Normal Day
2018-02-18,mandi,23,18,29.8,Sunday,February,Normal Day
2018-02-19,mandi,43,21,13.9,Monday,February,Normal Day
2018-02-20,mandi,32,27,8.1,Tuesday,February,Normal Day
2018-02-21,mandi,22,21,10.1,Wednesday,February,Normal Day
2018-02-22,mandi,45,26,30.6,Thursday,February,Normal Day
2018-02-23,mandi,6,28,21.1,Friday,February,Normal Day
2018-02-24,mandi,44,26,26.5,Saturday,February,Normal Day
2018-02-25,mandi,11,18,29.4,Sunday,February,Normal Day
2018-02-26,mandi,25,24,4.7,Monday,February,Normal Day
2018-02-27,mandi,1,21,29.8,Tuesday,February,Normal Day
2018-02-28,mandi,52,23,21.5,Wednesday,February,Normal Day
2018-03-01,mandi,39,27,28.3,Thursday,March,Normal Day
2018-03-02,mandi,9,20,17.1,Friday,March,Normal Day
2018-03-03,mandi,51,28,7.9,Saturday,March,Normal Day
2018-03-04,mandi,15,24,11.6,Sunday,March,Normal Day
2018-03-05,mandi,32,25,11.1,Monday,March,Normal Day
2018-03-06,mandi,49,22,23.3,Tuesday,March,Normal Day
2018-03-07,mandi,52,28,31.9,Wednesday,March,Normal Day
2018-03-08,mandi,2,26,8.9,Thursday,March,Normal Day
2018-03-09,mandi,49,17,10.4,Friday,March,Normal Day
2018-03-10,mandi,49,22,2.0,Saturday,March,Normal Day
2018-03-11,mandi,23,16,16.9,Sunday,March,Normal Day
2018-03-12,mandi,1,19,11.8,Monday,March,Normal Day
2018-03-13,mandi,44,17,22.6,Tuesday,March,Normal Day
2018-03-14,mandi,32,24,32.3,Wednesday,March,Normal Day
2018-03-15,mandi,11,21,22.3,Thursday,March,Normal Day
2018-03-16,mandi,38,22,8.4,Friday,March,Normal Day
2018-03-17,mandi,34,22,15.8,Saturday,March,Normal Day
2018-03-18,mandi,48,20,13.6,Sunday,March,Normal Day
2018-03-19,mandi,6,15,5.6,Monday,March,Normal Day
2018-03-20,mandi,36,27,28.3,Tuesday,March,Normal Day
2018-03-21,mandi,19,17,23.6,Wednesday,March,Normal Day
2018-03-22,mandi,52,18,21.4,Thursday,March,Normal Day
2018-03-23,mandi,39,23,22.9,Friday,March,Normal Day
2018-03-24,mandi,11,16,27.6,Saturday,March,Normal Day
2018-03-25,mandi,50,26,24.3,Sunday,March,Normal Day
2018-03-26,mandi,42,21,18.1,Monday,March,Normal Day
2018-03-27,mandi,16,17,8.1,Tuesday,March,Normal Day
2018-03-28,mandi,52,24,32.2,Wednesday,March,Normal Day
2018-03-29,mandi,1,26,9.1,Thursday,March,Normal Day
2018-03-30,mandi,37,28,29.5,Friday,March,Normal Day
2018-03-31,mandi,41,25,6.8,Saturday,March,Normal Day
2018-04-01,mandi,16,17,23.2,Sunday,April,Normal Day
2018-04-02,mandi,33,17,28.2,Monday,April,Normal Day
2018-04-03,mandi,49,22,28.0,Tuesday,April,Normal Day
2018-04-04,mandi,40,22,25.9,Wednesday,April,Normal Day
2018-04-05,mandi,48,18,19.4,Thursday,April,Normal Day
2018-04-06,mandi,25,28,30.9,Friday,April,Normal Day
2018-04-07,mandi,46,27,9.9,Saturday,April,Normal Day
2018-04-08,mandi,35,16,16.3,Sunday,April,Normal Day
2018-04-09,mandi,33,27,8.0,Monday,April,Normal Day
2018-04-10,mandi,21,18,8.4,Tuesday,April,Normal Day
2018-04-11,mandi,8,18,12.5,Wednesday,April,Normal Day
2018-04-12,mandi,33,21,23.9,Thursday,April,Normal Day
2018-04-13,mandi,22,26,17.1,Friday,April,Normal Day
2018-04-14,mandi,30,21,8.8,Saturday,April,Normal Day
2018-04-15,mandi,51,20,32.1,Sunday,April,Normal Day
2018-04-16,mandi,27,20,29.8,Monday,April,Normal Day
2018-04-17,mandi,33,16,12.0,Tuesday,April,Normal Day
2018-04-18,mandi,33,26,22.2,Wednesday,April,Normal Day
2018-04-19,mandi,48,19,8.2,Thursday,April,Normal Day
2018-04-20,mandi,49,17,19.1,Friday,April,Normal Day
2018-04-21,mandi,30,15,32.6,Saturday,April,Normal Day
2018-04-22,mandi,6,27,9.7,Sunday,April,Normal Day
2018-04-23,mandi,37,17,24.7,Monday,April,Normal Day
2018-04-24,mandi,46,22,11.4,Tuesday,April,Normal Day
2018-04-25,mandi,33,19,19.1,Wednesday,April,Normal Day
2018-04-26,mandi,21,18,10.2,Thursday,April,Normal Day
2018-04-27,mandi,3,21,9.4,Friday,April,Normal Day
2018-04-28,mandi,31,16,18.6,Saturday,April,Normal Day
2018-04-29,mandi,40,20,23.1,Sunday,April,Normal Day
2018-04-30,mandi,32,28,3.9,Monday,April,Normal Day
2018-05-01,mandi,2,29,32.5,Tuesday,May,Normal Day
2018-05-02,mandi,2,29,17.4,Wednesday,May,Normal Day
2018-05-03,mandi,33,24,24.5,Thursday,May,Normal Day
2018-05-04,mandi,48,23,23.3,Friday,May,Normal Day
2018-05-05,mandi,26,21,10.2,Saturday,May,Normal Day
2018-05-06,mandi,24,17,9.0,Sunday,May,Normal Day
2018-05-07,mandi,7,27,3.4,Monday,May,Normal Day
2018-05-08,mandi,20,23,20.9,Tuesday,May,Normal Day
2018-05-09,mandi,46,15,3.1,Wednesday,May,Normal Day
2018-05-10,mandi,23,28,29.3,Thursday,May,Normal Day
2018-05-11,mandi,2,29,12.8,Friday,May,Normal Day
2018-05-12,mandi,51,21,22.3,Saturday,May,Normal Day
2018-05-13,mandi,22,23,5.8,Sunday,May,Normal Day
2018-05-14,mandi,49,24,28.3,Monday,May,Normal Day
2018-05-15,mandi,15,18,2.0,Tuesday,May,Normal Day
2018-05-16,mandi,37,20,18.0,Wednesday,May,Normal Day
2018-05-17,mandi,44,15,27.3,Thursday,May,Normal Day
2018-05-18,mandi,4,26,20.7,Friday,May,Normal Day
2018-05-19,mandi,52,20,2.5,Saturday,May,Normal Day
2018-05-20,mandi,40,28,18.1,Sunday,May,Normal Day
2018-05-21,mandi,50,18,5.0,Monday,May,Normal Day
2018-05-22,mandi,19,26,23.7,Tuesday,May,Normal Day
2018-05-23,mandi,19,15,13.6,Wednesday,May,Normal Day
2018-05-24,mandi,26,26,24.6,Thursday,May,Normal Day
2018-05-25,mandi,23,19,6.7,Friday,May,Normal Day
2018-05-26,mandi,1,29,23.1,Saturday,May,Normal Day
2018-05-27,mandi,47,24,30.1,Sunday,May,Normal Day
2018-05-28,mandi,48,16,8.5,Monday,May,Normal Day
2018-05-29,mandi,1,23,21.9,Tuesday,May,Normal Day
2018-05-30,mandi,5,27,24.4,Wednesday,May,Normal Day
2018-05-31,mandi,3,20,24.2,Thursday,May,Normal Day
2018-06-01,mandi,51,26,18.9,Friday,June,Normal Day
2018-06-02,mandi,29,19,4.6,Saturday,June,Normal Day
2018-06-03,mandi,47,28,3.7,Sunday,June,Normal Day
2018-06-04,mandi,52,15,10.8,Monday,June,Normal Day
2018-06-05,mandi,26,19,16.0,Tuesday,June,Normal Day
2018-06-06,mandi,39,24,16.5,Wednesday,June,Normal Day
2018-06-07,mandi,30,18,6.3,Thursday,June,Normal Day
2018-06-08,mandi,10,19,13.6,Friday,June,Normal Day
2018-06-09,mandi,34,20,21.1,Saturday,June,Normal Day
2018-06-10,mandi,19,18,12.8,Sunday,June,Normal Day
2018-06-11,mandi,5,24,16.8,Monday,June,Normal Day
2018-06-12,mandi,24,27,6.0,Tuesday,June,Normal Day
2018-06-13,mandi,28,21,31.0,Wednesday,June,Normal Day
2018-06-14,mandi,12,25,26.4,Thursday,June,Normal Day
2018-06-15,mandi,33,16,19.1,Friday,June,Normal Day
2018-06-16,mandi,43,15,26.8,Saturday,June,Normal Day
2018-06-17,mandi,1,19,20.8,Sunday,June,Normal Day
2018-06-18,mandi,43,15,21.6,Monday,June,Normal Day
2018-06-19,mandi,12,26,9.6,Tuesday,June,Normal Day
2018-06-20,mandi,51,29,12.9,Wednesday,June,Normal Day
2018-06-21,mandi,17,16,22.7,Thursday,June,Normal Day
2018-06-22,mandi,26,24,11.0,Friday,June,Normal Day
2018-06-23,mandi,34,24,1.5,Saturday,June,Normal Day
2018-06-24,mandi,4,17,9.8,Sunday,June,Normal Day
2018-06-25,mandi,45,24,23.1,Monday,June,Normal Day
2018-06-26,mandi,36,25,28.9,Tuesday,June,Normal Day
2018-06-27,mandi,36,23,26.5,Wednesday,June,Normal Day
2018-06-28,mandi,24,24,14.4,Thursday,June,Normal Day
2018-06-29,mandi,48,17,32.5,Friday,June,Normal Day
2018-06-30,mandi,39,18,12.7,Saturday,June,Normal Day
2018-07-01,mandi,32,22,28.5,Sunday,July,Normal Day
2018-07-02,mandi,13,19,8.4,Monday,July,Normal Day
2018-07-03,mandi,41,21,24.9,Tuesday,July,Normal Day
2018-07-04,mandi,20,28,29.7,Wednesday,July,Normal Day
2018-07-05,mandi,19,23,11.0,Thursday,July,Normal Day
2018-07-06,mandi,41,15,2.5,Friday,July,Normal Day
2018-07-07,mandi,7,17,3.7,Saturday,July,Normal Day
2018-07-08,mandi,52,26,31.2,Sunday,July,Normal Day
2018-07-09,mandi,16,17,16.6,Monday,July,Normal Day
2018-07-10,mandi,12,19,3.7,Tuesday,July,Normal Day
2018-07-11,mandi,21,23,18.5,Wednesday,July,Normal Day
2018-07-12,mandi,16,18,31.1,Thursday,July,Normal Day
2018-07-13,mandi,42,23,4.4,Friday,July,Normal Day
2018-07-14,mandi,31,24,2.6,Saturday,July,Normal Day
2018-07-15,mandi,23,24,14.9,Sunday,July,Normal Day
2018-07-16,mandi,18,27,12.0,Monday,July,Normal Day
2018-07-17,mandi,10,29,5.4,Tuesday,July,Normal Day
2018-07-18,mandi,38,24,20.6,Wednesday,July,Normal Day
2018-07-19,mandi,40,21,14.4,Thursday,July,Normal Day
2018-07-20,mandi,27,24,13.5,Friday,July,Normal Day
2018-07-21,mandi,29,24,5.5,Saturday,July,Normal Day
2018-07-22,mandi,8,19,8.3,Sunday,July,Normal Day
2018-07-23,mandi,52,27,12.7,Monday,July,Normal Day
2018-07-24,mandi,25,15,31.1,Tuesday,July,Normal Day
2018-07-25,mandi,6,27,24.9,Wednesday,July,Normal Day
2018-07-26,mandi,44,26,3.5,Thursday,July,Normal Day
