Date,Week,Food_Item_1,Food_Item_2,Food_Item_3,Food_Item_4,Food_Item_5,Event,Inventory_Status
2013-01-01,1,Food_Item_1:60,Food_Item_2:27,Food_Item_3:21,Food_Item_4:67,Food_Item_5:37,None,Correct
2013-01-02,1,Food_Item_1:26,Food_Item_2:63,Food_Item_3:67,Food_Item_4:77,Food_Item_5:54,None,Correct
2013-01-03,1,Food_Item_1:21,Food_Item_2:25,Food_Item_3:33,Food_Item_4:34,Food_Item_5:52,Seasonal,Correct
2013-01-04,1,Food_Item_1:65,Food_Item_2:61,Food_Item_3:64,Food_Item_4:54,Food_Item_5:46,None,Correct
2013-01-05,1,Food_Item_1:71,Food_Item_2:75,Food_Item_3:20,Food_Item_4:68,Food_Item_5:71,None,Correct
2013-01-06,1,Food_Item_1:37,Food_Item_2:29,Food_Item_3:33,Food_Item_4:68,Food_Item_5:41,None,Correct
2013-01-07,2,Food_Item_1:42,Food_Item_2:74,Food_Item_3:42,Food_Item_4:58,Food_Item_5:36,Valentine's_Day,Correct
2013-01-08,2,Food_Item_1:54,Food_Item_2:27,Food_Item_3:79,Food_Item_4:44,Food_Item_5:25,None,Overflow
2013-01-09,2,Food_Item_1:59,Food_Item_2:76,Food_Item_3:75,Food_Item_4:43,Food_Item_5:56,None,Underflow
2013-01-10,2,Food_Item_1:62,Food_Item_2:34,Food_Item_3:69,Food_Item_4:38,Food_Item_5:25,Valentine's_Day,Overflow
2013-01-11,2,Food_Item_1:44,Food_Item_2:37,Food_Item_3:49,Food_Item_4:60,Food_Item_5:73,None,Correct
2013-01-12,2,Food_Item_1:33,Food_Item_2:62,Food_Item_3:37,Food_Item_4:64,Food_Item_5:79,Seasonal,Underflow
2013-01-13,2,Food_Item_1:60,Food_Item_2:30,Food_Item_3:54,Food_Item_4:66,Food_Item_5:35,None,Correct
2013-01-14,3,Food_Item_1:79,Food_Item_2:60,Food_Item_3:64,Food_Item_4:55,Food_Item_5:34,Seasonal,Overflow
2013-01-15,3,Food_Item_1:69,Food_Item_2:23,Food_Item_3:34,Food_Item_4:72,Food_Item_5:22,Valentine's_Day,Correct
2013-01-16,3,Food_Item_1:24,Food_Item_2:33,Food_Item_3:78,Food_Item_4:80,Food_Item_5:56,Valentine's_Day,Correct
2013-01-17,3,Food_Item_1:61,Food_Item_2:51,Food_Item_3:45,Food_Item_4:76,Food_Item_5:78,Seasonal,Correct
2013-01-18,3,Food_Item_1:28,Food_Item_2:35,Food_Item_3:67,Food_Item_4:55,Food_Item_5:54,None,Correct
2013-01-19,3,Food_Item_1:77,Food_Item_2:57,Food_Item_3:45,Food_Item_4:43,Food_Item_5:34,Christmas,Correct
2013-01-20,3,Food_Item_1:51,Food_Item_2:25,Food_Item_3:68,Food_Item_4:23,Food_Item_5:75,None,Correct
2013-01-21,4,Food_Item_1:70,Food_Item_2:63,Food_Item_3:47,Food_Item_4:58,Food_Item_5:24,None,Correct
2013-01-22,4,Food_Item_1:49,Food_Item_2:53,Food_Item_3:36,Food_Item_4:55,Food_Item_5:75,Christmas,Correct
2013-01-23,4,Food_Item_1:27,Food_Item_2:63,Food_Item_3:76,Food_Item_4:54,Food_Item_5:68,None,Correct
2013-01-24,4,Food_Item_1:27,Food_Item_2:38,Food_Item_3:47,Food_Item_4:30,Food_Item_5:49,None,Correct
2013-01-25,4,Food_Item_1:66,Food_Item_2:36,Food_Item_3:52,Food_Item_4:68,Food_Item_5:31,None,Correct
2013-01-26,4,Food_Item_1:60,Food_Item_2:39,Food_Item_3:73,Food_Item_4:60,Food_Item_5:52,Seasonal,Correct
2013-01-27,4,Food_Item_1:68,Food_Item_2:30,Food_Item_3:54,Food_Item_4:69,Food_Item_5:79,None,Underflow
2013-01-28,5,Food_Item_1:40,Food_Item_2:51,Food_Item_3:21,Food_Item_4:27,Food_Item_5:79,None,Overflow
2013-01-29,5,Food_Item_1:71,Food_Item_2:39,Food_Item_3:35,Food_Item_4:23,Food_Item_5:35,Valentine's_Day,Overflow
2013-01-30,5,Food_Item_1:25,Food_Item_2:66,Food_Item_3:51,Food_Item_4:72,Food_Item_5:24,Christmas,Correct
2013-01-31,5,Food_Item_1:28,Food_Item_2:28,Food_Item_3:62,Food_Item_4:50,Food_Item_5:80,None,Correct
