Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty
1,1,2012,33.82026172983832,12.000786041836117,2,53
2,1,2012,25.354296289725017,10.365207110815684,1,39
3,1,2012,20.786379730853564,19.849622239349472,1,26
4,1,2012,24.724824384701893,9.463447738766083,1,21
5,1,2012,25.72021785580439,17.271367534814875,1,37
6,1,2012,27.421560770603325,12.895702393533643,1,35
7,1,2012,24.611477167455803,15.44815082464151,1,37
8,1,2012,32.47039536578803,8.974208681170996,1,34
9,1,2012,28.02446867321377,18.13579912389279,1,20
10,1,2012,12.235050920829607,13.268092977201803,1,23
11,1,2012,27.956214031421297,6.08612247866594,1,22
12,1,2012,23.006069133240313,5.864017332565029,1,25
13,1,2012,32.66389607179229,17.346793849501424,1,35
14,1,2012,24.436005395591366,14.53672971372011,1,21
15,1,2012,23.26043925336924,10.781744845519901,1,23
16,1,2012,19.86910611073828,12.387627346125486,1,38
17,1,2012,23.070683317784535,6.121188233129615,1,32
18,1,2012,16.468649046874937,19.75387697615895,1,24
19,1,2012,25.574795861619194,11.726563210737039,1,23
20,1,2012,21.28071958565084,-2.587185513977367,1,35
21,1,2012,26.55681751638395,6.119897665382296,1,37
22,1,2012,32.54722541132711,15.338875647322103,1,36
23,1,2012,24.859088858306727,12.141659352652088,1,33
24,1,2012,24.63408287884215,6.6713966890826715,1,20
25,1,2012,26.839872370748395,9.77638149876223,1,22
26,1,2012,28.620031795211517,11.795013822349434,1,23
27,1,2012,28.09900531661407,18.955842306049576,1,37
28,1,2012,29.264629787506834,10.091785913049899,1,21
29,1,2012,23.87980610200178,7.899083051656358,1,28
30,1,2012,20.80834517233945,11.905818722176871,1,20
31,1,2012,22.54425172049619,13.563390828713914,1,34
1,2,2012,23.442237339363135,10.280826711148727,1,28
2,2,2012,20.008088229947756,8.161811985511262,1,22
3,2,2012,29.626253758751655,5.47606920915682,1,33
4,2,2012,32.71858215235949,7.989425553999566,1,28
5,2,2012,26.38498452548685,13.948335652723674,1,23
6,2,2012,24.647213854081876,13.020798535581875,1,24
7,2,2012,22.621119995918725,17.20365559159063,1,31
8,2,2012,26.0413748903843,14.883195182418564,1,34
9,2,2012,30.49820986334747,14.699484903990019,1,39
10,2,2012,20.049199287448356,19.361970392629622,1,26
11,2,2012,30.15407973834766,3.6150550648709316,1,55
12,2,2012,27.620879729627966,11.725565850079896,1,35
13,2,2012,28.022861384150417,1.2847088453850901,1,21
14,2,2012,34.33779480213285,14.530223291376927,1,23
15,2,2012,22.555191084108955,8.100387773041211,1,32
16,2,2012,29.73625983886874,9.224949534545829,1,25
17,2,2012,22.070924087901524,11.493860191809596,1,28
18,2,2012,22.76861359999195,-0.7167771861588044,1,25
