Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty1,Qty2,Qty3
1,1,2012,33.82026173,12.00078604,2,53,53,51
2,1,2012,25.35429629,10.36520711,1,39,34,39
3,1,2012,20.78637973,19.84962224,1,26,24,29
4,1,2012,24.72482438,9.463447739,1,21,19,19
5,1,2012,25.72021786,17.27136753,1,37,39,33
6,1,2012,27.42156077,12.89570239,1,35,39,39
7,1,2012,24.61147717,15.44815082,1,37,35,38
8,1,2012,32.47039537,8.974208681,1,34,34,36
9,1,2012,28.02446867,18.13579912,1,20,17,23
10,1,2012,12.23505092,13.26809298,1,23,22,19
11,1,2012,27.95621403,6.086122479,1,22,24,26
12,1,2012,23.00606913,5.864017333,1,25,26,27
13,1,2012,32.66389607,17.34679385,1,35,38,33
14,1,2012,24.4360054,14.53672971,1,21,24,23
15,1,2012,23.26043925,10.78174485,1,23,19,27
16,1,2012,19.86910611,12.38762735,1,38,39,37
17,1,2012,23.07068332,6.121188233,1,32,34,28
18,1,2012,16.46864905,19.75387698,1,24,26,20
19,1,2012,25.57479586,11.72656321,1,23,26,26
20,1,2012,21.28071959,0,1,35,31,32
21,1,2012,26.55681752,6.119897665,1,37,37,32
22,1,2012,32.54722541,15.33887565,1,36,40,39
23,1,2012,24.85908886,12.14165935,1,33,36,33
24,1,2012,24.63408288,6.671396689,1,20,24,20
25,1,2012,26.83987237,9.776381499,1,22,21,20
26,1,2012,28.6200318,11.79501382,1,23,21,18
27,1,2012,28.09900532,18.95584231,1,37,32,33
28,1,2012,29.26462979,10.09178591,1,21,19,23
29,1,2012,23.8798061,7.899083052,1,28,28,27
30,1,2012,20.80834517,11.90581872,1,20,15,19
31,1,2012,22.54425172,13.56339083,1,34,31,33
1,2,2012,23.44223734,10.28082671,1,28,26,27
2,2,2012,20.00808823,8.161811986,1,22,25,22
3,2,2012,29.62625376,5.476069209,1,33,29,34
4,2,2012,32.71858215,7.989425554,1,28,26,31
5,2,2012,26.38498453,13.94833565,1,23,21,22
6,2,2012,24.64721385,13.02079854,1,24,22,23
7,2,2012,22.62112,17.20365559,1,31,33,33
8,2,2012,26.04137489,14.88319518,1,34,29,36
9,2,2012,30.49820986,14.6994849,1,39,35,38
10,2,2012,20.04919929,19.36197039,1,26,30,26
11,2,2012,30.15407974,3.615055065,1,55,59,57
12,2,2012,27.62087973,11.72556585,1,35,30,34
13,2,2012,28.02286138,1.284708845,1,21,20,25
14,2,2012,34.3377948,14.53022329,1,23,25,23
15,2,2012,22.55519108,8.100387773,1,32,30,36
16,2,2012,29.73625984,9.224949535,1,25,22,21
17,2,2012,22.07092409,11.49386019,1,28,30,27
18,2,2012,22.7686136,0,1,25,22,20
19,2,2012,26.88212766,4.502996047,1,39,34,35
20,2,2012,23.73766202,15.19923394,1,23,18,21
21,2,2012,21.5271607,9.251827298,1,29,28,33
22,2,2012,19.14300741,0.7145628096,1,38,38,35
23,2,2012,31.7197721,5.908895193,1,32,32,27
24,2,2012,24.30858643,0,1,25,26,27
25,2,2012,21.82076961,13.38216647,1,36,39,33
26,2,2012,32.40756638,18.2963832,1,37,36,41
27,2,2012,26.98003356,4.534692456,1,28,24,23
28,2,2012,29.44877155,4.218592659,1,38,37,34
29,2,2012,32.8205129,13.05551855,1,38,42,41
30,2,2012,17.80879059,11.35624417,1,22,25,18
31,2,2012,24.65879197,18.56671361,1,27,23,23
1,3,2012,30.20587509,9.833819859,1,31,27,31
2,3,2012,28.99880823,21.07070598,1,34,36,38
3,3,2012,25.97749668,7.641978332,1,20,24,21
4,3,2012,29.85916063,18.03837004,1,37,41,38
5,3,2012,18.87282241,14.22181488,1,23,21,26
6,3,2012,26.31801095,13.65632962,1,34,35,30
7,3,2012,29.60429412,11.59363826,1,27,29,27
8,3,2012,29.83095202,9.065391004,1,20,17,24
9,3,2012,32.38670211,9.575549457,1,20,15,20
10,3,2012,20.42622335,14.29118893,1,38,36,39
11,3,2012,22.72233748,10.0873958,1,39,39,43
12,3,2012,27.37630417,6.428919051,1,25,29,20
13,3,2012,16.18980557,8.556883904,1,31,30,29
14,3,2012,19.4780833,10.2608254,1,37,36,39
15,3,2012,23.33793104,19.22258245,1,38,39,35
16,3,2012,23.33984802,8.519497985,1,31,30,35
17,3,2012,23.12086153,11.13925383,1,30,29,25
18,3,2012,25.51967956,5.852144067,1,36,34,40
19,3,2012,29.91210782,4.095245606,1,33,32,37
20,3,2012,30.49829798,13.27631865,1,36,35,40
21,3,2012,20.54052594,12.85040404,1,28,31,30
22,3,2012,31.91471167,11.93456419,1,22,21,24
23,3,2012,27.60993865,15.98629932,1,21,19,22
24,3,2012,27.96872571,6.68010336,1,21,23,23
25,3,2012,26.80947943,12.33783803,1,27,27,22
26,3,2012,36.29654475,9.788714242,1,20,20,21
27,3,2012,17.4098565,0.5347758724,1,36,31,31
28,3,2012,17.29601493,10.31630997,1,24,20,21
29,3,2012,21.53614712,15.68913433,1,26,26,27
30,3,2012,17.87969546,7.533400583,1,23,27,26
31,3,2012,26.60640452,9.380347783,1,30,28,33
1,4,2012,26.31980154,6.851790455,1,24,19,25
2,4,2012,32.47242272,0,1,42,42,40
3,4,2012,21.03306301,8.810596259,1,24,19,21
4,4,2012,21.80456926,22.48883797,1,39,35,37
5,4,2012,23.45493515,1.619980968,1,27,24,23
6,4,2012,30.71833882,9.059718601,1,27,26,26
7,4,2012,25.18616522,16.51375166,1,23,20,18
8,4,2012,25.70976582,8.403357914,1,20,15,23
9,4,2012,21.35971141,14.19758229,1,29,27,26
10,4,2012,24.60877268,19.16896372,1,20,17,21
11,4,2012,28.48686412,1.312853812,1,39,34,41
12,4,2012,24.50698566,3.498022984,1,38,40,40
13,4,2012,18.98552598,10.99782557,1,37,37,40
14,4,2012,21.73795709,8.045233124,1,35,39,30
15,4,2012,25.49093345,14.52744977,1,33,28,30
16,4,2012,24.44729671,15.10086356,1,32,29,28
17,4,2012,30.58999304,15.32124841,1,26,28,27
18,4,2012,29.45331026,13.8600188,1,30,27,28
19,4,2012,36.51958349,4.699920886,1,55,59,56
20,4,2012,20.50054437,10.64620907,1,38,35,40
21,4,2012,31.282857,11.48373598,1,22,20,26
22,4,2012,26.24324901,6.226347136,1,38,36,37
23,4,2012,24.57195051,13.5526995,1,21,18,16
24,4,2012,24.41212604,11.8656008,1,30,28,33
25,4,2012,28.44476343,0,1,21,20,18
26,4,2012,34.80499008,11.9729919,1,35,31,33
27,4,2012,15.20864195,7.410186569,1,26,23,23
28,4,2012,23.07560095,10.47175795,1,26,30,29
29,4,2012,28.07567277,20.33471752,1,29,25,24
30,4,2012,21.40197806,5.935035057,1,37,36,38
31,4,2012,26.92938567,9.964046284,1,28,29,29
1,5,2012,19.2132237,8.438538744,2,64,67,68
2,5,2012,27.6019979,15.70524973,1,25,22,25
3,5,2012,20.0865016,5.97920142,1,28,26,32
4,5,2012,32.56193103,3.265804652,1,50,45,52
5,5,2012,24.96144105,15.87744818,1,23,18,21
6,5,2012,21.57994551,18.29775398,1,24,25,25
7,5,2012,30.39289551,7.406329672,1,21,16,24
8,5,2012,22.79538684,8.598222524,1,37,38,37
9,5,2012,23.54297334,14.02035962,1,20,18,17
10,5,2012,20.30323074,11.67726462,1,29,27,32
11,5,2012,30.93481644,4.214131018,1,49,52,53
12,5,2012,24.02291398,3.677022809,1,36,39,32
13,5,2012,23.43748903,14.07123853,1,36,39,35
14,5,2012,28.49228575,10.01885445,1,27,24,22
15,5,2012,30.6373644,23.92466532,1,23,21,27
16,5,2012,29.15294305,15.21814794,1,36,33,35
17,5,2012,30.15286976,15.1244118,1,36,31,38
18,5,2012,23.66133232,4.359943343,1,32,35,27
19,5,2012,16.9487827,17.15300949,1,24,27,28
20,5,2012,20.87234677,6.498790812,1,23,21,19
21,5,2012,26.68447586,13.13337757,1,30,33,29
22,5,2012,27.24359441,0,1,23,20,18
23,5,2012,17.53855396,15.49950575,1,20,23,15
24,5,2012,23.23284126,1.917629057,1,22,21,26
25,5,2012,37.0049903,24.06372674,1,31,29,26
26,5,2012,30.11151602,17.53937958,1,29,24,27
27,5,2012,26.58452402,13.51467564,1,21,20,24
28,5,2012,16.43872443,11.82139899,1,21,19,22
29,5,2012,27.69976216,0,1,39,40,36
30,5,2012,25.22082705,0,1,39,43,34
31,5,2012,17.7673265,14.00148975,1,32,35,36
1,6,2012,25.97103322,5.162513009,1,38,33,39
2,6,2012,33.74136758,11.52379886,1,32,35,32
3,6,2012,32.5999743,18.59794654,1,25,25,26
4,6,2012,26.24884167,13.09656182,1,37,41,41
5,6,2012,30.40366638,16.73073187,1,20,15,16
6,6,2012,24.34946523,10.46976615,1,20,24,19
7,6,2012,24.1253658,16.87872966,1,24,25,23
8,6,2012,29.97889679,10.50292625,1,37,37,34
9,6,2012,20.14447715,11.57408602,1,36,34,40
10,6,2012,25.03983137,15.4428646,1,30,26,27
11,6,2012,19.8287482,10.57471153,1,36,39,35
12,6,2012,23.02385509,4.202897418,1,29,24,33
13,6,2012,20.79507995,7.523468996,1,34,33,32
14,6,2012,17.86024262,12.66931554,1,27,31,25
15,6,2012,27.28707803,5.176939931,1,27,28,28
16,6,2012,17.64850295,16.65361436,1,36,36,31
17,6,2012,24.12020592,15.05730862,1,31,33,34
18,6,2012,27.31565165,11.39547882,1,23,26,27
19,6,2012,25.97267808,19.09868731,1,25,28,25
20,6,2012,13.56180037,7.242629374,1,37,41,37
21,6,2012,25.21059549,10.60431419,1,25,22,22
22,6,2012,25.77591298,6.839954718,1,39,42,34
23,6,2012,25.44533357,1.973030489,1,23,24,22
24,6,2012,14.91796686,7.302726833,1,29,30,24
25,6,2012,30.06357509,1.2883144,1,41,45,41
26,6,2012,31.59568438,5.587905907,1,21,17,18
27,6,2012,27.25608286,1.784025096,1,25,26,23
28,6,2012,28.85702974,15.14719414,1,26,29,23
29,6,2012,22.98887591,2.334922437,1,31,34,35
30,6,2012,24.08916194,11.05429428,1,35,33,38
31,6,2012,32.56664041,12.76566032,1,36,33,40
1,7,2012,25.62480446,7.093944094,1,24,22,19
2,7,2012,16.72704387,3.072849404,1,22,23,23
3,7,2012,21.57912317,12.91542137,1,26,24,21
4,7,2012,38.48112026,9.630376669,2,53,54,57
5,7,2012,23.51737408,12.56887745,1,37,37,33
6,7,2012,24.43649176,4.958675774,1,23,25,21
7,7,2012,24.89871333,7.138296673,1,22,17,22
8,7,2012,16.83682737,2.161161378,1,37,40,33
9,7,2012,31.46167481,5.306190464,1,24,23,21
10,7,2012,18.33894173,0.1568765511,1,22,23,17
11,7,2012,30.79490214,17.47057966,1,31,31,31
12,7,2012,31.43064356,14.35886745,1,33,36,34
13,7,2012,29.57382212,7.478136134,1,26,23,30
14,7,2012,16.59390892,5.55514321,1,23,21,19
15,7,2012,14.75024941,16.29013217,1,22,26,19
16,7,2012,32.82256302,14.09217752,1,34,36,35
17,7,2012,28.47682933,11.61812757,1,39,39,40
18,7,2012,13.15206547,14.3202615,1,23,21,25
19,7,2012,29.90161859,7.962822088,1,39,38,34
20,7,2012,29.21361786,16.96488348,1,31,31,31
21,7,2012,23.69177277,9.088776081,1,34,32,33
22,7,2012,25.22529618,4.175687518,1,27,25,29
23,7,2012,26.06740024,3.957131731,1,20,22,19
24,7,2012,23.50363822,13.54253842,1,38,42,39
25,7,2012,30.39098652,0,1,57,61,58
26,7,2012,24.34112868,6.37845007,1,34,38,37
27,7,2012,19.75719306,12.85945574,1,33,35,34
28,7,2012,21.60987109,16.48922895,1,21,19,16
29,7,2012,18.49459915,13.76483814,1,26,23,23
30,7,2012,24.85527236,1.412837643,1,39,37,34
31,7,2012,20.3521624,10.16229026,1,20,24,15
1,8,2012,27.05235145,4.155348222,1,36,38,39
2,8,2012,16.97900189,15.07529064,1,20,22,19
3,8,2012,27.26890956,0.851297945,1,35,35,30
4,8,2012,25.64793851,11.27327354,1,32,28,28
5,8,2012,20.97186746,4.408440378,1,27,24,22
6,8,2012,13.74485854,1.571379446,1,32,29,35
7,8,2012,19.30098772,13.92478761,1,36,39,36
8,8,2012,22.9382178,0.9484651486,1,20,16,17
9,8,2012,25.86438073,2.824490949,1,30,30,33
10,8,2012,23.90229486,4.579816897,1,22,25,17
11,8,2012,22.60258537,5.792716643,1,27,26,27
12,8,2012,24.533358,7.67657288,1,30,25,25
13,8,2012,17.24785327,12.08659411,1,26,23,29
14,8,2012,17.97018542,7.049711771,1,29,29,29
15,8,2012,22.12585479,9.896242077,1,28,28,29
16,8,2012,26.04150817,12.30461708,1,35,30,39
17,8,2012,28.02560042,14.47777993,1,23,26,22
18,8,2012,36.26253163,5.006668931,1,27,23,26
19,8,2012,21.7200291,16.21064248,1,24,20,21
20,8,2012,28.38230366,8.089955222,1,25,20,24
21,8,2012,29.94012628,2.102064026,1,28,26,23
22,8,2012,20.71623294,12.14676616,1,22,25,25
23,8,2012,21.56350481,9.412627268,1,35,38,31
24,8,2012,26.62770015,11.92564871,1,31,30,33
25,8,2012,20.40997615,11.26248314,1,33,32,32
26,8,2012,30.6637061,12.49583102,1,27,22,23
27,8,2012,30.17204943,5.018936798,1,24,28,19
28,8,2012,31.44366949,9.140724122,1,25,23,29
29,8,2012,24.43362279,16.69224025,1,36,38,36
30,8,2012,25.86142994,14.54914351,1,38,36,34
31,8,2012,26.43452244,0,1,26,23,29
1,9,2012,27.36056449,5.598162272,1,39,35,35
2,9,2012,20.72747564,12.78388066,1,39,35,40
3,9,2012,23.14647998,5.271921022,1,23,20,18
4,9,2012,32.22471138,14.88013735,1,24,20,19
5,9,2012,37.70026461,6.579253304,1,30,29,27
6,9,2012,27.84233106,8.150419631,1,38,35,33
7,9,2012,31.86324508,5.37113733,1,33,33,35
8,9,2012,22.28106526,12.84449047,1,39,39,36
9,9,2012,15.27148458,5.436082529,1,27,27,29
10,9,2012,25.46267241,3.123647949,1,21,18,21
11,9,2012,28.30608873,13.12253739,1,22,22,21
12,9,2012,21.73436747,12.14883325,1,35,37,30
13,9,2012,22.830972,9.346037096,1,26,28,28
14,9,2012,35.58395511,1.945607983,1,50,51,54
15,9,2012,28.70234841,9.595497629,1,23,19,26
16,9,2012,17.48801715,1.111665226,1,32,33,28
17,9,2012,23.25438356,19.39451676,1,23,25,21
18,9,2012,18.38623969,11.63738012,1,30,27,27
19,9,2012,23.26875276,6.026818395,1,24,22,21
20,9,2012,15.14194118,14.96372384,1,27,23,27
21,9,2012,25.1600214,11.05644142,1,20,24,22
22,9,2012,26.17410763,20.66076705,1,35,35,31
23,9,2012,25.62005639,14.55197914,1,28,32,28
24,9,2012,20.71499555,13.94561342,1,39,43,37
25,9,2012,24.43467047,8.452036179,1,33,30,37
26,9,2012,32.44997285,12.45549688,1,33,28,33
27,9,2012,20.98429306,7.678311543,1,27,31,28
28,9,2012,23.37716759,11.41644089,1,21,17,19
29,9,2012,25.91962747,8.072551198,1,38,42,39
