Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty
1,1,1950,33.82026172983832,11,1,22.000786041836115
2,1,1950,34.33778995074984,9,1,20.227221201235892
3,1,1950,24.48390574103221,13,1,22.05299250969186
4,1,1950,28.805188625734967,4,1,31.216750164928285
5,1,1950,27.21931616372713,10,1,33.33674327374267
6,1,1950,26.565338508254506,10,1,21.459042606982752
7,1,1950,29.32218099429753,10,1,22.57834979593558
8,1,1950,25.22879258650723,11,1,19.064080749870833
9,1,1950,25.77473712848458,9,1,33.781625196021736
10,1,1950,23.26043925336924,12,1,20.7817448455199
11,1,1950,23.06336591296024,8,1,26.976972494246645
12,1,1950,16.468649046874937,7,1,49.5077539523179
13,1,1950,18.73602319975037,10,2,57.7749035583191
14,1,1950,20.522667194031623,7,1,33.86902497859262
15,1,1950,24.859088858306727,12,1,22.141659352652088
16,1,1950,21.82838953159518,8,1,26.37258834012862
17,1,1950,20.93426858977773,11,1,11.368586988341615
18,1,1950,20.46350817808379,8,1,30.51945395796139
19,1,1950,27.011708205887746,8,1,23.151899090596867
20,1,1950,23.442237339363135,13,1,20.280826711148727
21,1,1950,19.174250796083218,7,1,39.008264869541875
22,1,1950,32.441260968978,9,1,48.95889176030583
23,1,1950,19.646236892447288,13,1,25.272258634655685
24,1,1950,26.0413748903843,14,1,24.883195182418564
25,1,1950,25.052500103604103,17,1,28.929352469529178
26,1,1950,34.41575348528127,12,1,13.261204694287768
27,1,1950,19.1343829744292,6,1,49.436211856492925
28,1,1950,34.614710132401925,11,1,27.402573957172123
29,1,1950,20.693871574726487,15,1,29.55032476549517
30,1,1950,29.73625983886874,13,2,19.22494953454583
31,1,1950,26.88212765577815,6,1,19.005992094158053
1,2,1950,26.49119087103028,9,1,43.2638589668703
2,2,1950,22.82423224139181,12,1,29.24631864239671
3,2,1950,21.62833669671312,7,1,30.318305582743513
4,2,1950,21.820769608105596,12,1,23.3821664747325
5,2,1950,26.980033563308226,11,1,14.534692456347472
6,2,1950,25.833367476862644,10,1,36.35031436892106
7,2,1950,20.43588887277921,9,1,41.17016288095853
8,2,1950,24.658791973376843,7,1,47.133427216493665
9,2,1950,24.50773737787284,8,1,23.365217136378927
10,2,1950,19.26265673794449,12,1,17.81089977627783
11,2,1950,29.747104034628805,12,1,20.437756206925954
12,2,1950,19.998923263052177,11,1,12.276144516111941
13,2,1950,29.604294118904093,8,1,33.187276529430214
14,2,1950,19.828785791077678,7,1,36.81594518281627
15,2,1950,22.722337482413284,7,1,30.174791590250567
16,2,1950,21.78190798583555,8,1,7.7659684777557345
17,2,1950,19.478083302857748,12,1,20.26082539630487
18,2,1950,18.535715451382757,6,1,32.670508693491826
19,2,1950,27.616383302658768,15,1,19.14226834388876
20,2,1950,35.81617974640345,18,1,26.68263974718196
21,2,1950,23.154090810287784,8,1,27.606208224240735
