Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty
1,1,1950,33.82026172983832,12.000786041836117,2,53
2,1,1950,25.354296289725017,10.365207110815684,1,39
3,1,1950,20.786379730853564,19.849622239349472,1,26
4,1,1950,24.724824384701893,9.463447738766083,1,21
5,1,1950,25.72021785580439,17.271367534814875,1,37
6,1,1950,27.421560770603325,12.895702393533643,1,35
7,1,1950,24.611477167455803,15.44815082464151,1,37
8,1,1950,32.47039536578803,8.974208681170996,1,34
9,1,1950,28.02446867321377,18.13579912389279,1,20
10,1,1950,12.235050920829607,13.268092977201803,1,23
11,1,1950,27.956214031421297,6.08612247866594,1,22
12,1,1950,23.006069133240313,5.864017332565029,1,25
13,1,1950,32.66389607179229,17.346793849501424,1,35
14,1,1950,24.436005395591366,14.53672971372011,1,21
15,1,1950,23.26043925336924,10.781744845519901,1,23
16,1,1950,19.86910611073828,12.387627346125486,1,38
17,1,1950,23.070683317784535,6.121188233129615,1,32
18,1,1950,16.468649046874937,19.75387697615895,1,24
19,1,1950,25.574795861619194,11.726563210737039,1,23
20,1,1950,21.28071958565084,-2.587185513977367,1,35
21,1,1950,26.55681751638395,6.119897665382296,1,37
22,1,1950,32.54722541132711,15.338875647322103,1,36
23,1,1950,24.859088858306727,12.141659352652088,1,33
24,1,1950,24.63408287884215,6.6713966890826715,1,20
25,1,1950,26.839872370748395,9.77638149876223,1,22
26,1,1950,28.620031795211517,11.795013822349434,1,23
27,1,1950,28.09900531661407,18.955842306049576,1,37
28,1,1950,29.264629787506834,10.091785913049899,1,21
29,1,1950,23.87980610200178,7.899083051656358,1,28
30,1,1950,20.80834517233945,11.905818722176871,1,20
31,1,1950,22.54425172049619,13.563390828713914,1,34
1,2,1950,23.442237339363135,10.280826711148727,1,28
2,2,1950,20.008088229947756,8.161811985511262,1,22
3,2,1950,29.626253758751655,5.47606920915682,1,33
4,2,1950,32.71858215235949,7.989425553999566,1,28
5,2,1950,26.38498452548685,13.948335652723674,1,23
6,2,1950,24.647213854081876,13.020798535581875,1,24
7,2,1950,22.621119995918725,17.20365559159063,1,31
8,2,1950,26.0413748903843,14.883195182418564,1,34
9,2,1950,30.49820986334747,14.699484903990019,1,39
10,2,1950,20.049199287448356,19.361970392629622,1,26
11,2,1950,30.15407973834766,3.6150550648709316,1,55
12,2,1950,27.620879729627966,11.725565850079896,1,35
13,2,1950,28.022861384150417,1.2847088453850901,1,21
14,2,1950,34.33779480213285,14.530223291376927,1,23
15,2,1950,22.555191084108955,8.100387773041211,1,32
16,2,1950,29.73625983886874,9.224949534545829,1,25
17,2,1950,22.070924087901524,11.493860191809596,1,28
18,2,1950,22.76861359999195,-0.7167771861588044,1,25
19,2,1950,26.88212765577815,4.502996047079027,1,39
20,2,1950,23.737662015643554,15.199233937173567,1,23
21,2,1950,21.527160701343174,9.251827298361647,1,29
22,2,1950,19.143007409783344,0.714562809610495,1,38
23,2,1950,31.71977209792466,5.908895193356542,1,32
24,2,1950,24.308586425972123,-0.6246013455806771,1,25
25,2,1950,21.820769608105596,13.382166474732498,1,36
26,2,1950,32.40756637690576,18.296383203397873,1,37
27,2,1950,26.980033563308226,4.5346924563474715,1,28
28,2,1950,29.448771549358437,4.2185926587195475,1,38
29,2,1950,32.82051289864312,13.055518549328545,1,38
30,2,1950,17.808790587996334,11.356244172060423,1,22
31,2,1950,24.658791973376843,18.566713608246832,1,27
1,3,1950,30.205875086080713,9.83381985900289,1,31
2,3,1950,28.998808225824533,21.0707059815835,1,34
3,3,1950,25.97749667637664,7.6419783322608685,1,20
4,3,1950,29.859160628048986,18.03837004239994,1,37
5,3,1950,18.87282240584916,14.221814882007735,1,23
6,3,1950,26.318010948789894,13.656329621921959,1,34
